snapped_at,price,market_cap,total_volume
2022-01-01 00:00:00 UTC,26.737095973322056,28732998502.746273,1029198943.9670718
2022-01-02 00:00:00 UTC,28.641423056433503,30517681838.453594,650806340.6952845
2022-01-03 00:00:00 UTC,29.76663909151273,31944115354.77421,1076715455.9372327
2022-01-04 00:00:00 UTC,30.15170108918123,32436340090.242737,1461765935.1203914
2022-01-05 00:00:00 UTC,28.85560896706936,31537656135.75426,1312142515.8722835
2022-01-06 00:00:00 UTC,26.88794754649635,28936275424.478165,1517014108.0554445
2022-01-07 00:00:00 UTC,26.81810933164343,28843259208.714306,1281481231.3562808
2022-01-08 00:00:00 UTC,24.966617574613622,26779237851.543533,2220537714.3123727
2022-01-09 00:00:00 UTC,24.051793062157824,25923977117.20303,1258983747.847014
2022-01-10 00:00:00 UTC,24.65132946490016,26407621531.276527,1087184419.1135013
2022-01-11 00:00:00 UTC,23.773314178362128,25456977504.43002,1414107986.2645206
2022-01-12 00:00:00 UTC,25.549876615214746,27475553928.56419,1276554183.5632813
2022-01-13 00:00:00 UTC,27.349144715858582,29399262365.304707,1159766365.0459332
2022-01-14 00:00:00 UTC,25.836341318657578,27917785563.580727,1118039838.0957701
2022-01-15 00:00:00 UTC,27.748763536504455,29684561956.36822,1484988317.430836
2022-01-16 00:00:00 UTC,27.778986859944954,29895862458.44073,915517798.4
2022-01-17 00:00:00 UTC,27.738117191121205,29789790006.807434,1049845646.3621527
2022-01-18 00:00:00 UTC,25.751505858215815,27670413006.059025,1170420006.1762898
2022-01-19 00:00:00 UTC,25.118053411006642,27020370467.037605,1087004448.6463797
2022-01-20 00:00:00 UTC,24.162781364500326,26125537293.84224,957657579.4
2022-01-21 00:00:00 UTC,23.024331211171255,24969517569.592186,988320911
2022-01-22 00:00:00 UTC,19.574187609576683,21173684730.274296,1979544572.036382
2022-01-23 00:00:00 UTC,18.28708783426802,19674934664.12584,2455316924.7197995
2022-01-24 00:00:00 UTC,18.802671156939812,20234576752,1420665035.5397663
2022-01-25 00:00:00 UTC,18.126485578434096,19558589661,1955649017.7112184
2022-01-26 00:00:00 UTC,18.53958523,19987558901,1234858143.1858609
2022-01-27 00:00:00 UTC,18.10492562402364,19665313790.58067,1451660664.4299476
2022-01-28 00:00:00 UTC,18.18946807468125,19501146889.39568,1020174861.693886
2022-01-29 00:00:00 UTC,18.372851407945653,19806520731.82455,820374496.7826016
2022-01-30 00:00:00 UTC,18.76352083387839,20151361693.38701,607122616.9946909
2022-01-31 00:00:00 UTC,18.221536871514516,19651471274.50926,605567191.7940992
2022-02-01 00:00:00 UTC,19.456703840135145,20922623770,943068662.2311251
2022-02-02 00:00:00 UTC,19.64032263624118,21259400427.022354,897937499.7
2022-02-03 00:00:00 UTC,18.84269861214864,20314239323.80025,981092196.1154816
2022-02-04 00:00:00 UTC,18.76318690237329,20253940808.552387,747076284.5884506
2022-02-05 00:00:00 UTC,20.493714841425078,21920795400.66965,936097374.8445774
2022-02-06 00:00:00 UTC,21.410655041263617,23208237609.594383,1078480125.1055315
2022-02-07 00:00:00 UTC,21.93454476389413,23630077327,669179973.8590842
2022-02-08 00:00:00 UTC,22.421151190170697,24285830156.680973,1094307998.8477252
2022-02-09 00:00:00 UTC,21.716960262761894,23527048022.776833,1178072579.252564
2022-02-10 00:00:00 UTC,21.958282792374536,23774347905.930065,727651466.6
2022-02-11 00:00:00 UTC,20.665904642186753,22480041052.512695,1058676685.0210963
2022-02-12 00:00:00 UTC,18.98356987116232,20572029325.256985,992204806.4227159
2022-02-13 00:00:00 UTC,18.815152462515293,20347060821.402138,702583071.2979032
2022-02-14 00:00:00 UTC,18.840796816073365,20286774145.390427,520320760.0056092
2022-02-15 00:00:00 UTC,18.732314169743915,20330586905.798527,605860012.7828761
2022-02-16 00:00:00 UTC,20.167527228360353,21989212429.833023,648661043.8032804
2022-02-17 00:00:00 UTC,19.831693104156717,21632674348.359264,651228108.5882292
2022-02-18 00:00:00 UTC,18.123878114571923,19666147141.288696,729682828.0764459
2022-02-19 00:00:00 UTC,17.86887473067776,19440501172.636116,662062096.4864421
2022-02-20 00:00:00 UTC,17.926197744256044,19440770227.12013,431248077.2874277
2022-02-21 00:00:00 UTC,16.948377603477436,18571831871.01635,654237821.1593908
2022-02-22 00:00:00 UTC,16.212967526787747,17594587959.022434,939691993.3548201
2022-02-23 00:00:00 UTC,16.581915190362093,17917639268.337646,823757048.9395145
2022-02-24 00:00:00 UTC,16.036832530428047,17465416910.19338,918406607.3870813
