crypto_id,price,market_cap,total_volume
1,46319.65108805251,876192941903.0961,25895349604.886154
1,47816.07767640849,904551946917.3206,18904585811.03402
1,47387.212167697246,897536090320.9355,33756128241.98571
1,46531.140860530526,880330191985.1965,21890019531.577713
1,45938.02427172366,876242689666.1957,24895990583.663242
1,43647.147508068054,827723202715.1049,31837641246.01787
1,43216.45867693359,819522879407.0583,26366602396.811768
1,41527.197042644846,787735561341.1113,79685254648.07628
1,41756.66232397826,792892599975.9554,23337017232.770664
1,41862.36099,791648558214.5575,18016718173.608612
1,41869.85905559219,792407724467.5966,27984634062.049942
1,42777.211020482355,809621515508.4065,22813557397.82151
1,43981.87732717414,832460077955.3481,28250302540.221024
1,42608.41001195019,806510860231.8285,43905745871.292786
1,43120.85451108056,816129314317.4397,20238314434.86153
1,43226.65026980921,816800318526.6782,14651008624.734596
1,43119.79214308028,8.16326E+11,14452346388.550371
1,42298.341116872325,800822650383.9624,17694929625.845875
1,42395.45879157343,803962100417.9756,18897950050.285973
1,41749.55143098559,790507925308.7825,19626113309.554142
1,40707.68241,774235809673.4731,20930163211.171124
1,36508.799789830824,692855029162.9379,38296960033.31628
1,35180.435462830384,666220701468.4846,35517336417.257744
1,36306.409440464704,687575973800.0704,22865032968.608204
1,36774.00714224005,6.96465E+11,36385158448.60688
1,36988.928510667356,700571452648.8236,46168918584.85349
1,36870.440166930995,700165819656.2855,26756873749.744743
1,37276.839558174994,702311456032.8538,22057410457.280827
1,37852.57902803263,717026944842.8334,19214103304.052933
1,38232.17873217708,722829009646.1814,14178650231.62196
1,37983.151499406464,719570142321.8397,11807185113.633108
1,38555.53446121157,727905398095.9747,17731563487.283978
1,38835.69494322237,736102274236.6057,17109120250.158987
1,37000.98249864199,700645616423.8325,16709908527.231106
1,37101.351593780935,703003347951.7092,16136299994.837618
1,41673.83955,777355085535.6107,25347215343.882504
1,41493.690050910525,786295053042.2418,16752051696.248552
1,42475.543220951215,804942041477.0581,13206494654.908047
1,43910.929986443094,833392518214.8341,24171856714.475758
1,44184.447511676175,837406846076.2306,29024977264.932137
1,44383.88805541707,841339973338.8694,19780565063.098923
1,43628.13953235228,826942197610.3904,27877618433.98099
1,42445.38876793804,8.03707E+11,23279080009.72499
1,42254.738123237206,799547462142.6093,15479727288.782782
1,42247.83595326771,802059713029.3901,12146423251.39967
1,42634.573783663065,808280617642.0496,18090873762.822777
1,44574.32057099816,848321283143.9929,19801081788.555756
1,44063.28198279571,8.36256E+11,16847003857.433496
1,40562.98694982819,770096677778.6456,22270664615
1,40073.495362369824,759881874201.3011,20130002755.177864
1,40192.75912143141,761447243939.9269,11735183838.17719
1,38514.00853622455,730381814665.4404,15998424231.017673
1,37059.979402287514,703004241590.1829,25174914104.16337
1,38337.20386,727094284067.6588,22212181617.200245
1,37372.29268,708829287814.1068,18507851467.85067
1,38363.345488570165,727657714638.0917,40839699480.89129
1,39316.16207578596,745763194704.1796,22579249141.515377
1,39090.202153609054,7.41084E+11,14568201294.74542
1,37803.59016044929,717619764688.0872,19424397945.619602
1,43225.404677435734,8.19019E+11,30634280854.538326
1,44459.59162774341,841254375272.0455,27880763034.093914
1,43980.707382090906,834437956671.6672,25615956856.40275
1,42491.97839335905,807454920681.7217,22366184128.900482
1,39200.29973557414,743810477766.2219,25121267305.979286
1,39463.14681149058,748197160856.1006,14818212144.749968
1,38442.99174588676,729501899968.2964,16995562040.606796
1,38076.49382252028,723198804467.6718,24596395439.058964
1,38732.93701302586,735453953725.9198,22556397749.428085
1,41986.03444607623,796849504897.2562,29211702119.448605
1,39468.35477300189,749384110700.1091,27653455219.04128
1,38775.17558840679,738267961692.6816,23624165274.522385
1,38903.69354800599,738456528057.6692,12440826653.84724
1,37852.52514106289,718551088031.3688,14461647575.513742
1,39669.423812004505,751354026218.9767,21250969229.221596
1,39331.84654059453,7.47642E+11,20768829817.938637
1,41165.63506140341,779761001844.4108,34974203468.766266
1,41001.70957801974,778474325709.8895,18861644942.593346
1,41837.41313797566,794378970588.3145,30316128166.48974
1,42201.939920688186,800887993391.0255,16580741571.959858
1,41283.25900104565,784054464871.6631,16856192301.960054
1,41061.81589384987,779205413378.8728,21335882483.315796
1,42401.895597489434,803937099701.4115,28688623151.357098
1,42802.15471016985,8.10894E+11,21851891598.642384
1,43936.09623454058,8.34251E+11,26212783703.864426
1,44331.77795706412,842031938721.7855,26147756108.07925
1,44510.84421762133,845235093872.7649,13676534294.229202
1,46715.11762,887283025181.1342,22545392529.67392
1,46994.879118357465,892747620147.7012,30051327357.066643
1,47459.261237539096,901430001888.9999,26128040680.825665
1,47063.36584996355,895356010540.8462,24497248306.346912
1,45528.40715313835,865010142444.9791,27736469645.537262
1,46270.20070585378,879144224206.3806,32948605532.135277
1,45842.14476317382,871050305858.7916,24803837259.76474
1,46434.562982661664,8.82347E+11,21510196790.30345
1,46622.63571309101,885584977681.2438,28019309650.72574
1,45635.45438126673,8.67247E+11,25474063861.60569
1,43198.77526936491,820983263462.4961,34113818641.77575
1,43515.15032279806,827032889944.6309,22960138784.304127
1,42315.70972421807,804272478980.6077,24202906401.166885
1,42796.39747810973,812734148492.5116,13949535312
1,42274.907370256085,803574629064.9272,14936318818.778025
1,39603.965159284155,752680814425.1921,30168665078.21043
1,40205.67794073206,764314681923.3135,27804694935.48352
1,41205.16871904067,783560801481.9719,25453869985.971855
1,39959.457069033735,759703443634.6515,22744792147.00975
1,40586.59730938673,771666602547.5923,22053774554.17729
1,40450.37930543977,770439827829.2395,15777789210.238447
1,39739.11925622209,755627152747.4514,16627779441.567648
1,40833.53797,776463403746.4385,30617039399.980103
1,41498.12244669832,789141783336.2104,22717772925.289574
1,41397.220477279625,787437397453.9304,24937668255.073463
1,40528.54148675958,770787243369.5001,32131220615.550182
1,39756.848993471016,756144456297.8489,46022063018.95215
1,39561.78019075613,752414150959.3553,15010797471.968071
1,39469.04986198146,752446283899.8965,16778683767.597218
1,40488.877917622376,770112436973.4149,32883645913.964718
1,38134.21545068938,7.25435E+11,31053018153.386673
1,39237.94931747103,7.46473E+11,28170490245.865635
1,39741.766645809636,756090806420.8264,31484572271.03238
1,38650.55013809267,735829877665.6912,27758348826.409065
1,37820.61176529208,719611115951.2947,20955789685.355682
1,38537.65476669535,733294957352.5364,24857664487.014507
1,38561.56539902362,733787526677.6703,29825308569.42226
1,37758.49611,718542028695.8999,23070122642.32804
1,39699.02404125388,755764276888.7715,31748901527.20592
1,36612.229548803036,6.96021E+11,37402043365.58407
1,36116.394294982965,687093350325.4445,32223287014.454002
1,35573.31019883488,678702448510.6605,19130720394.98043
1,34070.31219757961,648514321641.9902,30810576501.52256
1,30269.586956629482,576197842487.6378,58369928594.32748
1,31026.93386836242,590644412746.6844,54071363210.08785
1,28913.48836365432,549294001873.1765,65985702701.50493
1,29126.11597686014,555266177876.6213,61338080283.57989
1,29310.728959858257,558053182541.2809,71541696924.39926
1,30189.333177005963,5.73778E+11,25759546763.688618
1,31319.309111130002,596346266888.6597,22948123704.172672
1,29923.606993639707,569801943005.2971,28418179221.125336
1,30502.19328027689,581272773175.8237,24964703223.57502
1,28772.200501112577,547927169401.20306,26219431165.241817
1,30382.40624219559,578678245847.8763,29190056577.430664
1,29256.813374416255,557201657280.7389,25980877919.56809
1,29491.507947760598,561696351558.8424,13561006428.368963
1,30351.050417138096,5.7809E+11,17199930154.801018
1,29163.167775739188,5.55459E+11,26646754324.71057
1,29655.02613175249,564885248021.9939,23486436836.56051
1,29584.949851985926,563577022957.9133,23108764916.206596
1,29346.781442431617,559066076343.6685,31972044691.709656
1,28646.65218193245,545752899521.8662,31756305901.005535
1,29088.236452817226,554938694217.2793,15406515372.711676
1,29492.503214953642,5.61771E+11,14496111397.934435
1,31740.94072516695,604926607440.7722,34891305295
1,31865.749621173167,607393396318.7885,29770567353.488136
1,29833.450330205254,569001624438.0176,35553330791.53566
1,30481.013996026013,580863150152.0535,24232399986.261147
1,29714.143487149733,566275595800.1772,21997859590.66833
1,29872.36031,5.6834E+11,12911383481.843807
1,29917.764052456198,570209935092.4275,13395229055.412352
1,31372.58476,597966736176.5532,27644798123.298183
1,31265.469277693348,597205650752.5386,36111325508.04181
1,30229.236836130378,576238781341.3682,27080284928.564884
1,30101.187521431468,573819802894.6453,18871591862.340336
1,29101.29826,554622874799.0432,25663085729.428833
1,28374.14499732395,540789214973.6274,22518366769.839092
1,26767.269173221313,514202090511.0678,29834061115.62461
1,22525.768350391198,4.29492E+11,64852526179.382835
1,22244.848968001315,423044474596.5387,47639470967.891426
1,22529.198114649807,429887916884.8431,52027211446.51121
1,20408.690490591813,389181727345.57733,27449277945.59262
1,20473.05288079512,391441740414.39136,24232922585.240158
1,19047.41782828195,362303884192.0101,38920632524
1,20516.41197977524,390555374756.5322,32488136325.883087
1,20636.75891240637,392793374515.9921,28346447996.779846
1,20700.923933039136,395059669321.2376,25340643363
1,19983.566482863105,3.81616E+11,24955466738.110855
1,21100.270533511088,402495826231.42053,23655104386.978516
1,21262.71348295613,407086114490.3726,21955656695.748722
1,21525.88036221139,410110791491.05475,16152442749.306295
1,21052.80539783573,401645800330.4072,15392697878.417652
