snapped_at,price,market_cap,total_volume
2022-01-01 00:00:00 UTC,170.1966082645718,52907181305.50652,1380634374.4823568
2022-01-02 00:00:00 UTC,178.88879762342907,55089640249.096664,960138212.5274444
2022-01-03 00:00:00 UTC,176.32149989503122,54604426218.58956,846802662.8993707
2022-01-04 00:00:00 UTC,170.57083886740085,52886550470.82176,1152100392.329671
2022-01-05 00:00:00 UTC,168.0394848714517,52272480718.14088,1361207424
2022-01-06 00:00:00 UTC,155.71670664692078,48184360964,1980976064.6564603
2022-01-07 00:00:00 UTC,150.72362465772903,46854691786,1922945442.8085198
2022-01-08 00:00:00 UTC,136.6133086353095,42610750948.59599,2713161094.7767363
2022-01-09 00:00:00 UTC,142.37691491093904,44680435604.26222,2495097582.9222703
2022-01-10 00:00:00 UTC,140.97069019412947,43844556062.79441,1383486991.2692618
2022-01-11 00:00:00 UTC,135.98215275078118,42320546842.20343,1797340432.3285239
2022-01-12 00:00:00 UTC,140.2633692449685,43823867475.83328,1407732234.4002852
2022-01-13 00:00:00 UTC,151.92225384391546,47534063482.95965,2048461630
2022-01-14 00:00:00 UTC,146.8991625118502,45924153329.20764,1972169296.5769014
2022-01-15 00:00:00 UTC,146.31283636345285,45849250868.07178,1627092109.7732365
2022-01-16 00:00:00 UTC,147.70351003866236,46337099650.87288,1003160676.7114657
2022-01-17 00:00:00 UTC,147.94236767494985,46450557289.26664,1064526626.2870606
2022-01-18 00:00:00 UTC,140.0483723855377,44032309574,1342939698.2979736
2022-01-19 00:00:00 UTC,141.6341441,44575080930.62185,1327500384.0270393
2022-01-20 00:00:00 UTC,135.5936205367398,42848572759.496826,1310094891.479366
2022-01-21 00:00:00 UTC,128.56948450207307,40727678847.05303,1371674053.2248023
2022-01-22 00:00:00 UTC,111.77542786353777,35070043876.86985,3853056390.3720913
2022-01-23 00:00:00 UTC,94.51541078123918,29665575896.047955,4095835932.6350746
2022-01-24 00:00:00 UTC,99.69162217459098,31290905178.53205,2611991894.5389414
2022-01-25 00:00:00 UTC,91.91541131637003,28909954628.237045,4359827042.558423
2022-01-26 00:00:00 UTC,95.09282864333939,30084800205.779095,2614011846.1962757
2022-01-27 00:00:00 UTC,92.24801292004712,29243771848.310368,2847753595.488201
2022-01-28 00:00:00 UTC,89.60158614183815,28179557560.867977,2421524797.0656857
2022-01-29 00:00:00 UTC,91.42580267920562,28786945733.928276,1882874786.6910908
2022-01-30 00:00:00 UTC,96.17869128153504,30216232718.877556,1478946858.3603432
2022-01-31 00:00:00 UTC,93.40252902879779,29427732656.729218,941974724.4
2022-02-01 00:00:00 UTC,99.88984753621435,31354693276.844906,1715569710.5342922
2022-02-02 00:00:00 UTC,110.12732330616494,34784263657.23243,3097993266.654722
2022-02-03 00:00:00 UTC,101.8292164519742,31975373921.89307,2979450302.616579
2022-02-04 00:00:00 UTC,100.87832034717168,31833368519.650074,2283972523.6144795
2022-02-05 00:00:00 UTC,112.48079518340074,35127905584.898895,2844877285.5932903
2022-02-06 00:00:00 UTC,114.33315412383556,36087037718.41055,2104149883.5664315
2022-02-07 00:00:00 UTC,115.2834781341491,36521264719.12104,1281443040.6022959
2022-02-08 00:00:00 UTC,117.67187313780884,37305112916.66873,2230152722.515911
2022-02-09 00:00:00 UTC,113.69745549618692,36125330680.249535,2354525277.711969
2022-02-10 00:00:00 UTC,114.34358742446604,36294064610.281944,1634212051.3702943
2022-02-11 00:00:00 UTC,106.41810262178213,33826915836.727123,1963719800.2645695
2022-02-12 00:00:00 UTC,96.46324431285534,30597070580.09104,1738208639.1534996
2022-02-13 00:00:00 UTC,95.70003429059713,30347618773.26294,1336515340.137724
2022-02-14 00:00:00 UTC,93.36714504855237,29672733160.79642,910049119.2353679
2022-02-15 00:00:00 UTC,96.44224243421378,30784741416.87896,1364915626.6617208
2022-02-16 00:00:00 UTC,104.85069673096622,33579862333.60316,1630619496.195204
2022-02-17 00:00:00 UTC,101.95613259465958,32707737720.154152,1473078677.1202588
2022-02-18 00:00:00 UTC,93.40452358,29918359231.26159,1463178693.3773677
2022-02-19 00:00:00 UTC,90.10899056118771,28828455911.828396,1290677352.6433926
2022-02-20 00:00:00 UTC,91.60559213966147,29209068299.47004,836883423.9090565
2022-02-21 00:00:00 UTC,90.80316641928688,29261491189.686405,1428521632.3321967
2022-02-22 00:00:00 UTC,83.14387140523519,26727888651.40893,2247461489.9635487
2022-02-23 00:00:00 UTC,86.57269722666857,27744256745.686615,1577877587.2386572
2022-02-24 00:00:00 UTC,85.26903088293193,27294663661.65063,1761310724.440881
2022-02-25 00:00:00 UTC,89.05132726925892,28497445445.309517,4075674086.526734
2022-02-26 00:00:00 UTC,92.73641556746163,29919961866.348053,2417499269.8008738
2022-02-27 00:00:00 UTC,90.10798522206623,28767659413.525894,1316252928.3341599
2022-02-28 00:00:00 UTC,85.56819666616444,27360038516.30834,1559328417.4245245
2022-03-01 00:00:00 UTC,99.57917400308274,31846087892.82589,2674553479.2180743
2022-03-02 00:00:00 UTC,98.75845247572444,31569373571.96833,2476563020.453062
2022-03-03 00:00:00 UTC,100.78986523175992,32379126078.839725,2951039198.751416
2022-03-04 00:00:00 UTC,95.55882629437178,30435232238.200184,1795535826.5550518
2022-03-05 00:00:00 UTC,88.24516285,28319787092.93302,2029343357.151517
2022-03-06 00:00:00 UTC,89.78895188514215,28439402258.606415,1164108659.2733207
2022-03-07 00:00:00 UTC,84.63923583859497,26835926882.34714,1139246888.3328228
2022-03-08 00:00:00 UTC,82.06724918865827,26300808792.830048,1884457926.903441
2022-03-09 00:00:00 UTC,82.25360674455618,26425486647.51813,1704061421.1695168
2022-03-10 00:00:00 UTC,88.18505284,28509710713.35766,2082131364.035624
2022-03-11 00:00:00 UTC,83.02500801904657,26526485356.294556,1706781764.3768432
2022-03-12 00:00:00 UTC,80.69121367419427,26163052143.35841,1382838751.097293
2022-03-13 00:00:00 UTC,81.60999773356421,26366084285.169167,776192786.1232313
2022-03-14 00:00:00 UTC,78.99818199674436,25452866391,949636517.7
2022-03-15 00:00:00 UTC,81.16870194524185,26140341334,1317770720.4689145
2022-03-16 00:00:00 UTC,82.94439063872372,26592730954.19203,1247125823.1505735
2022-03-17 00:00:00 UTC,87.84993508447106,27984951680.550426,1872435776.0194497
2022-03-18 00:00:00 UTC,87.96768776096062,28483849999.645226,1939375410.1723945
2022-03-19 00:00:00 UTC,89.90595375292516,28795996368.61534,2216690010.2438216
2022-03-20 00:00:00 UTC,92.40408532356939,29598406487.051815,1493437229.1232493
2022-03-21 00:00:00 UTC,88.59618802144291,28394223139.824287,954767656.0285732
2022-03-22 00:00:00 UTC,88.77017295,28382479439.33157,1145750669.0417037
2022-03-23 00:00:00 UTC,90.50413587116581,29048148956.10171,1405727754.2331312
2022-03-24 00:00:00 UTC,94.91975845,30612053298.879955,1433431548.5448608
2022-03-25 00:00:00 UTC,102.1802283204168,32979523332.775997,2412096877.261528
2022-03-26 00:00:00 UTC,98.64674268,31980590349.304367,1817213990.6348524
2022-03-27 00:00:00 UTC,101.64121040495988,33176556212.500633,1009509747.3725619
2022-03-28 00:00:00 UTC,106.90984972476438,34802243172.81474,1301984880.0039117
2022-03-29 00:00:00 UTC,106.24001892236811,34753559141.629364,2396330997.762824
2022-03-30 00:00:00 UTC,111.74644646494659,36192035879.28324,2434694052.670127
2022-03-31 00:00:00 UTC,120.6985421756732,39218225944.819916,3208462667.358372
2022-04-01 00:00:00 UTC,122.76130420785864,40036171559.14788,3421557221.672948
2022-04-02 00:00:00 UTC,134.3709278834371,43736096533.81698,3831716307.2558904
2022-04-03 00:00:00 UTC,132.265544,43260457424.49813,2989201592.6587396
2022-04-04 00:00:00 UTC,136.6745408370863,44426659281.57661,2277967480.691483
2022-04-05 00:00:00 UTC,132.34498367671756,43072219169.516655,2483670638
2022-04-06 00:00:00 UTC,126.60568047767862,41374924384,2136267271.3883832
2022-04-07 00:00:00 UTC,112.52902554657368,36929750315.179565,3198015612.875086
2022-04-08 00:00:00 UTC,118.68839511414586,38892547341.88895,2381088467.183991
2022-04-09 00:00:00 UTC,109.69148769667358,35663008069.967834,2314898911.4950137
