crypto_id,price_date,close_price_usd,market_cap_usd,volume_usd
1,2022-01-01,46319.65109,876193000000.00,25895349605
1,2022-01-02,47816.07768,904552000000.00,18904585811
1,2022-01-03,47387.21217,897536000000.00,33756128242
1,2022-01-04,46531.14086,880330000000.00,21890019532
1,2022-01-05,45938.02427,876243000000.00,24895990584
1,2022-01-06,43647.14751,827723000000.00,31837641246
1,2022-01-07,43216.45868,819523000000.00,26366602397
1,2022-01-08,41527.19704,787736000000.00,79685254648
1,2022-01-09,41756.66232,792893000000.00,23337017233
1,2022-01-10,41862.36099,791649000000.00,18016718174
1,2022-01-11,41869.85906,792408000000.00,27984634062
1,2022-01-12,42777.21102,809622000000.00,22813557398
1,2022-01-13,43981.87733,832460000000.00,28250302540
1,2022-01-14,42608.41001,806511000000.00,43905745871
1,2022-01-15,43120.85451,816129000000.00,20238314435
1,2022-01-16,43226.65027,816800000000.00,14651008625
1,2022-01-17,43119.79214,816000000000.00,14452346389
1,2022-01-18,42298.34112,800823000000.00,17694929626
1,2022-01-19,42395.45879,803962000000.00,18897950050
1,2022-01-20,41749.55143,790508000000.00,19626113310
1,2022-01-21,40707.68241,774236000000.00,20930163211
1,2022-01-22,36508.79979,692855000000.00,38296960033
1,2022-01-23,35180.43546,666221000000.00,35517336417
1,2022-01-24,36306.40944,687576000000.00,22865032969
1,2022-01-25,36774.00714,696000000000.00,36385158449
1,2022-01-26,36988.92851,700571000000.00,46168918585
1,2022-01-27,36870.44017,700166000000.00,26756873750
1,2022-01-28,37276.83956,702311000000.00,22057410457
1,2022-01-29,37852.57903,717027000000.00,19214103304
1,2022-01-30,38232.17873,722829000000.00,14178650232
1,2022-01-31,37983.1515,719570000000.00,11807185114
1,2022-02-01,38555.53446,727905000000.00,17731563487
1,2022-02-02,38835.69494,736102000000.00,17109120250
1,2022-02-03,37000.9825,700646000000.00,16709908527
1,2022-02-04,37101.35159,703003000000.00,16136299995
1,2022-02-05,41673.83955,777355000000.00,25347215344
1,2022-02-06,41493.69005,786295000000.00,16752051696
1,2022-02-07,42475.54322,804942000000.00,13206494655
1,2022-02-08,43910.92999,833393000000.00,24171856714
1,2022-02-09,44184.44751,837407000000.00,29024977265
1,2022-02-10,44383.88806,841340000000.00,19780565063
1,2022-02-11,43628.13953,826942000000.00,27877618434
1,2022-02-12,42445.38877,804000000000.00,23279080010
1,2022-02-13,42254.73812,799547000000.00,15479727289
1,2022-02-14,42247.83595,802060000000.00,12146423251
1,2022-02-15,42634.57378,808281000000.00,18090873763
1,2022-02-16,44574.32057,848321000000.00,19801081789
1,2022-02-17,44063.28198,836000000000.00,16847003857
1,2022-02-18,40562.98695,770097000000.00,22270664615
1,2022-02-19,40073.49536,759882000000.00,20130002755
1,2022-02-20,40192.75912,761447000000.00,11735183838
1,2022-02-21,38514.00854,730382000000.00,15998424231
1,2022-02-22,37059.9794,703004000000.00,25174914104
1,2022-02-23,38337.20386,727094000000.00,22212181617
1,2022-02-24,37372.29268,708829000000.00,18507851468
1,2022-02-25,38363.34549,727658000000.00,40839699481
1,2022-02-26,39316.16208,745763000000.00,22579249142
1,2022-02-27,39090.20215,741000000000.00,14568201295
1,2022-02-28,37803.59016,717620000000.00,19424397946
1,2022-03-01,43225.40468,819000000000.00,30634280855
1,2022-03-02,44459.59163,841254000000.00,27880763034
1,2022-03-03,43980.70738,834438000000.00,25615956856
1,2022-03-04,42491.97839,807455000000.00,22366184129
1,2022-03-05,39200.29974,743810000000.00,25121267306
1,2022-03-06,39463.14681,748197000000.00,14818212145
1,2022-03-07,38442.99175,729502000000.00,16995562041
1,2022-03-08,38076.49382,723199000000.00,24596395439
1,2022-03-09,38732.93701,735454000000.00,22556397749
1,2022-03-10,41986.03445,796850000000.00,29211702119
1,2022-03-11,39468.35477,749384000000.00,27653455219
1,2022-03-12,38775.17559,738268000000.00,23624165275
1,2022-03-13,38903.69355,738457000000.00,12440826654
1,2022-03-14,37852.52514,718551000000.00,14461647576
1,2022-03-15,39669.42381,751354000000.00,21250969229
1,2022-03-16,39331.84654,748000000000.00,20768829818
1,2022-03-17,41165.63506,779761000000.00,34974203469
1,2022-03-18,41001.70958,778474000000.00,18861644943
1,2022-03-19,41837.41314,794379000000.00,30316128166
1,2022-03-20,42201.93992,800888000000.00,16580741572
1,2022-03-21,41283.259,784054000000.00,16856192302
1,2022-03-22,41061.81589,779205000000.00,21335882483
1,2022-03-23,42401.8956,803937000000.00,28688623151
1,2022-03-24,42802.15471,811000000000.00,21851891599
1,2022-03-25,43936.09623,834000000000.00,26212783704
1,2022-03-26,44331.77796,842032000000.00,26147756108
1,2022-03-27,44510.84422,845235000000.00,13676534294
1,2022-03-28,46715.11762,887283000000.00,22545392530
1,2022-03-29,46994.87912,892748000000.00,30051327357
1,2022-03-30,47459.26124,901430000000.00,26128040681
1,2022-03-31,47063.36585,895356000000.00,24497248306
1,2022-04-01,45528.40715,865010000000.00,27736469646
1,2022-04-02,46270.20071,879144000000.00,32948605532
1,2022-04-03,45842.14476,871050000000.00,24803837260
1,2022-04-04,46434.56298,882000000000.00,21510196790
1,2022-04-05,46622.63571,885585000000.00,28019309651
1,2022-04-06,45635.45438,867000000000.00,25474063862
1,2022-04-07,43198.77527,820983000000.00,34113818642
1,2022-04-08,43515.15032,827033000000.00,22960138784
1,2022-04-09,42315.70972,804272000000.00,24202906401
1,2022-04-10,42796.39748,812734000000.00,13949535312
1,2022-04-11,42274.90737,803575000000.00,14936318819
