crypto_id,symbol,name
1,BTC,Bitcoin
2,ETH,Ethereum
3,SOL,Solana
4,ADA,Cardano
5,MATIC,Polygon
6,DOT,Polkadot
7,LINK,Chainlink
8,AVAX,Avalanche
9,USDC,USD Coin
10,USDT,Tether
